topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
0.0041575367,0.023782192,0.41906542,0.0027454814,0.0020872534,0.0027705585,0.3775081,0.0035304194,0.15766011,0.0025656626,0.0024995734,0.0016277172
0.05047269,0.00087671104,0.2840322,0.0012237639,0.0009303671,0.07902618,0.27523243,0.0015736403,0.18696186,0.02059142,0.09835319,0.0007255345
0.07103192,0.00292355,0.006799365,0.00408086,0.0031024758,0.0041181347,0.009881142,0.037673682,0.68831,0.13351798,0.036141444,0.002419425
0.053638913,0.27155572,0.00513446,0.0030816132,0.0023427978,0.0031097606,0.007461627,0.003962652,0.64220005,0.0028797789,0.0028055985,0.0018270001
0.04963822,0.023483207,0.054615416,0.032779217,0.024920415,0.033078622,0.07936957,0.04215086,0.0591344,0.030632302,0.5507639,0.019433858
0.021618824,0.0056240405,0.29513967,0.31534284,0.00049359613,0.041926473,0.31626564,0.0008348777,0.001171269,0.0006067309,0.000591102,0.00038492444
0.008726393,0.0041283453,0.009601384,0.0057625826,0.004381006,0.005815218,0.0139531605,0.9231881,0.010395821,0.005385155,0.0052464386,0.00341647
0.008726393,0.0041283453,0.009601384,0.0057625826,0.004381006,0.005815218,0.0139531605,0.9231881,0.010395821,0.005385155,0.0052464386,0.00341647
0.007994293,0.0037819983,0.008795877,0.0052791317,0.004013462,0.005327351,0.012782562,0.9296322,0.009523665,0.004933368,0.004806289,0.0031298457
0.008344316,0.0039475895,0.009180997,0.0055102734,0.004189188,0.0055606044,0.013342234,0.9265512,0.009940649,0.005149371,0.005016728,0.003266883
0.009145139,0.004326449,0.010062117,0.0060391068,0.0045912336,0.006094268,0.014622719,0.87151605,0.010894676,0.005643568,0.053484324,0.0035804133
0.008726393,0.0041283453,0.009601384,0.0057625826,0.004381006,0.005815218,0.0139531605,0.9231881,0.010395821,0.005385155,0.0052464386,0.00341647
0.008344316,0.0039475895,0.009180997,0.0055102734,0.004189188,0.0055606044,0.013342234,0.9265512,0.009940649,0.005149371,0.005016728,0.003266883
0.008344316,0.0039475895,0.009180997,0.0055102734,0.004189188,0.0055606044,0.013342234,0.9265512,0.009940649,0.005149371,0.005016728,0.003266883
0.008726393,0.0041283453,0.009601384,0.0057625826,0.004381006,0.005815218,0.0139531605,0.9231881,0.010395821,0.005385155,0.0052464386,0.00341647
0.008344316,0.0039475895,0.009180997,0.0055102734,0.004189188,0.0055606044,0.013342234,0.9265512,0.009940649,0.005149371,0.005016728,0.003266883
0.008344316,0.0039475895,0.009180997,0.0055102734,0.004189188,0.049344674,0.013342234,0.88276714,0.009940649,0.005149371,0.005016728,0.003266883
