company_name,Group,ticker,file_name,date,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,WA_sentiment,Close,D-1,D+1,D-2,D+2,D-3,D+3,D-5,D+5,D-10,D+10,D-15,D+15
Admiral Group,Motor/Personal,ADM.L,20110302_Admiral_Group_PLC-_Earnings_Call_2011-3-2_SD000000002736694887.pdf,2011-03-02,0.0026804105201268208,0.5727894528600135,0.03252727050343067,0.0006567045305175717,0.0004992599259403341,0.044300860576610805,0.22774298505556936,0.008426568225202194,0.018461282055728327,0.037488201468542065,0.005802653389326279,0.04862437299285702,0.00039202421170551134,1655.0,-0.031030444964871194,0.013897280966767372,-0.020130254588513915,0.015105740181268883,-0.003612281757977122,-0.0006042296072507553,-0.011350059737156512,-0.0030211480362537764,-0.02932551319648094,-0.06042296072507553,-0.03046280023432923,-0.045317220543806644
Admiral Group,Motor/Personal,ADM.L,20110824_Admiral_Group_PLC-_Earnings_Call_2011-8-24_SD000000002736694923.pdf,2011-08-24,0.10818011392408858,0.5050890444599887,0.05588317624831084,0.03019672872829153,0.02407848686586334,0.05621716151346887,0.07584650114257893,0.02554286691546099,0.004550407066823587,0.04298278769232493,0.0007521254465449995,0.0706805995833084,0.0007653887422494053,1353.0,-0.11856677524429968,-0.05469327420546933,-0.11045364891518737,-0.025868440502586843,-0.09498327759197324,-0.005912786400591279,-0.12596899224806202,0.011086474501108648,-0.031496062992125984,0.008130081300813009,-0.11741682974559686,-0.028824833702882482
Admiral Group,Motor/Personal,ADM.L,20111109_Admiral_Group_PLC-_Guidance_Call_2011-11-9_SD000000002870249474.pdf,2011-11-09,0.015945123003790678,0.41515059692651557,0.1230242010259244,0.001712144346606205,0.0013016585099946553,0.02843255685729697,0.13766954907875636,0.042510948138394386,0.19002218004691335,0.0016000052875356301,0.0015587906231838394,0.041072245335615216,-0.00043284330544485206,887.5,-0.2560771165129925,-0.07605633802816901,-0.2478813559322034,-0.05352112676056338,-0.25168634064080947,-0.061971830985915494,-0.2349137931034483,-0.09802816901408451,-0.2766911165444173,-0.02535211267605634,-0.2755102040816326,0.03943661971830986
Admiral Group,Motor/Personal,ADM.L,20111109_Admiral_Group_PLC-_Guidance_Call_2011-11-9_SD000000002870288769.pdf,2011-11-09,0.015841626726266243,0.6910326776999741,0.0006803819056428544,0.0009720133555932488,0.009755557871876482,0.04008153413899522,0.11848565425356372,0.017031301577861938,0.0026256994664035083,0.07687173713235544,0.007984471224687751,0.018637323279355317,0.00033580106223506226,887.5,-0.2560771165129925,-0.07605633802816901,-0.2478813559322034,-0.05352112676056338,-0.25168634064080947,-0.061971830985915494,-0.2349137931034483,-0.09802816901408451,-0.2766911165444173,-0.02535211267605634,-0.2755102040816326,0.03943661971830986
Admiral Group,Motor/Personal,ADM.L,20120307_Admiral_Group_PLC-_Earnings_Call_2012-3-7_SD000000002736694971.pdf,2012-03-07,0.009561622566836719,0.6279057459341749,0.08888848055371325,0.012240740434569087,0.011544047100444897,0.0412805186606805,0.12397519104568538,0.0012580882353632802,0.02967947066287384,0.05219531448721124,0.0008907394467631792,0.000580047700007375,0.0016688340421846604,1144.0,0.1,0.015734265734265736,0.09578544061302682,0.012237762237762238,0.08026440037771483,0.022727272727272728,0.06220984215413185,0.03671328671328671,0.10318225650916105,0.02097902097902098,0.17998968540484786,0.01486013986013986
Admiral Group,Motor/Personal,ADM.L,20120830_Admiral_Group_PLC-_Earnings_Call_2012-8-30_SD000000002736695019.pdf,2012-08-30,0.007916746102336362,0.6223105704070693,0.06161771800641985,0.015028926608899247,0.000663304376286715,0.025875714141142946,0.12684099365395812,0.010421113727013384,0.007846632896351905,0.00583346399327371,0.049518083859483725,0.06612674318292328,0.0009522759933836734,1162.0,-0.028428093645484948,0.020654044750430294,-0.012744265080713678,-0.010327022375215147,-0.022708158116063918,-0.04475043029259897,-0.02023608768971332,-0.02323580034423408,-0.01692047377326565,-0.05938037865748709,-0.005136986301369863,-0.06798623063683305
Admiral Group,Motor/Personal,ADM.L,20130306_Admiral_Group_PLC-_Earnings_Call_2013-3-6_SD000000002736695055.pdf,2013-03-06,0.01844907998198668,0.6405141039379101,0.0315618272554704,0.001251407758575674,0.0009513832750390706,0.02494738405526679,0.16208300701845682,0.027262692523853473,0.01761605152275148,0.006076831844058893,0.025788465387364262,0.04349776523549323,0.0011356123301471377,1334.0,0.05288082083662194,0.01649175412293853,0.045454545454545456,0.01424287856071964,0.06976744186046512,0.018740629685157422,0.06634692246203037,0.006746626686656672,0.033307513555383424,-0.0014992503748125937,0.04463586530931871,-0.008995502248875561
Admiral Group,Motor/Personal,ADM.L,20130829_Admiral_Group_PLC-_Earnings_Call_2013-8-29_SD000000002736695103.pdf,2013-08-29,0.017413843233052496,0.570749429087542,0.15921964927200008,0.010612657120365129,0.012903605749137157,0.014855938746043119,0.14936655257600417,0.016610630872566146,0.02099229325607742,0.0009682687660070332,0.0009433270734815374,0.025363842253492364,0.001081535633785183,1270.0,-0.015503875968992248,-0.007086614173228346,-0.020061728395061727,-0.0031496062992125984,-0.019305019305019305,-0.003937007874015748,-0.01854714064914992,-0.007874015748031496,0.0023677979479084454,-0.03700787401574803,0.003952569169960474,-0.04094488188976378
Admiral Group,Motor/Personal,ADM.L,20140305_Admiral_Group_PLC-_Earnings_Call_2014-3-5_SD000000002736695151.pdf,2014-03-05,0.015006494850739988,0.4489954907164792,0.12407998604189076,0.039705087403000085,0.020558262254914833,0.043755302711114205,0.10159664182793833,0.0050395373612168734,0.03842073770531439,0.08435220923181061,0.004251216746881891,0.07423905551647102,0.003469291340643579,1526.0,0.07540521494009866,-0.00327653997378768,0.07692307692307693,-0.019659239842726082,0.06341463414634146,-0.01703800786369594,0.05386740331491713,-0.007208387942332897,0.03598099117447386,-0.02621231979030144,0.05386740331491713,-0.0399737876802097
Admiral Group,Motor/Personal,ADM.L,20140813_Admiral_Group_PLC-_Earnings_Call_2014-8-13_SD000000002845804089.pdf,2014-08-13,0.011654587460897066,0.3471265470082992,0.15942701269209564,0.011118364152953855,0.010331220687778869,0.08123281653588685,0.29261834217068106,0.012413781469741625,0.02522555567960965,0.030539697383101944,0.0014267809799456044,0.0168853062025458,0.002411712961862302,1371.0,-0.05448275862068966,-0.029905178701677606,-0.05513439007580979,-0.027716994894237783,-0.043933054393305436,-0.02698760029175784,-0.0531767955801105,-0.0350109409190372,-0.06224350205198358,-0.023340627279358133,-0.10974025974025974,-0.06491611962071481
